Machine_ID,Temperature,Run_Time,Downtime_Flag
M-5,97.61,247,0
M-2,56.04,375,0
M-4,64.62,39,1
M-15,68.83,224,0
M-1,73.61,35,0
M-4,64.67,90,1
M-7,88.9,464,1
M-4,82.01,500,0
M-4,52.72,345,0
M-12,59.33,129,0
M-6,83.66,461,1
M-11,50.06,10,0
M-5,54.04,373,1
M-3,59.63,327,0
M-19,78.65,25,1
M-4,85.06,414,0
M-6,58.32,264,0
M-14,99.34,264,0
M-14,59.47,358,0
M-6,85.17,5,1
M-19,91.69,355,0
M-19,79.23,139,0
M-15,74.82,236,0
M-8,61.55,243,0
M-20,79.61,127,1
M-15,88.72,376,0
M-3,74.56,37,0
M-6,96.78,265,0
M-11,65.22,150,0
M-5,69.0,258,0
M-8,65.82,8,0
M-18,86.34,144,1
M-15,55.51,438,1
M-20,71.12,499,0
M-13,86.42,155,1
M-8,63.05,452,0
M-14,54.35,430,1
M-15,99.77,250,1
M-4,80.4,460,0
M-10,53.21,168,1
M-11,50.98,127,0
M-15,82.77,329,0
M-5,73.49,98,1
M-8,54.97,450,0
M-9,74.13,450,1
M-15,88.0,500,0
M-12,77.39,36,1
M-8,55.95,452,0
M-4,85.88,202,0
M-12,54.24,429,0
M-6,84.78,346,0
M-9,60.78,133,1
M-11,60.79,345,0
M-13,81.45,141,1
M-10,57.15,251,1
M-1,92.95,352,0
M-6,62.12,302,1
M-10,76.47,33,0
M-4,61.48,280,0
M-14,71.97,398,0
M-3,89.03,477,1
M-8,60.88,31,0
M-20,73.8,34,0
M-4,82.0,117,1
M-11,87.32,167,1
M-1,73.01,161,1
M-1,86.59,127,0
M-11,64.76,51,0
M-20,80.39,384,1
M-15,78.78,261,0
M-20,76.8,206,0
M-14,98.42,41,1
M-16,71.61,263,0
M-18,75.44,441,0
M-10,61.19,227,0
M-9,96.88,52,1
M-6,92.49,81,0
M-16,58.16,460,1
M-13,84.9,96,1
M-19,65.69,138,1
M-13,69.78,216,1
M-5,99.16,64,1
M-9,70.95,451,1
M-4,50.04,393,1
M-3,97.3,152,0
M-13,83.29,42,1
M-10,85.87,466,0
M-17,60.74,2,0
M-10,99.18,201,1
M-16,63.65,232,1
M-4,72.87,436,0
M-2,51.07,205,0
M-2,99.25,399,1
M-5,98.41,57,0
M-8,51.53,337,0
M-12,97.44,112,0
M-20,80.93,63,0
M-7,60.73,99,1
M-16,90.7,418,1
M-19,60.59,294,0
M-8,92.39,415,0
M-20,77.62,216,1
M-19,73.28,37,0
M-7,93.12,471,0
M-6,58.86,183,1
M-12,96.38,290,1
M-13,71.9,249,0
M-15,80.39,90,0
M-9,99.8,144,1
M-2,81.76,230,0
M-17,61.17,430,0
M-20,93.45,273,1
M-18,56.51,394,0
M-6,76.65,290,0
M-13,94.43,441,0
M-18,79.38,49,0
M-10,55.59,27,0
M-20,78.11,460,0
M-2,91.45,266,0
M-15,91.85,357,0
M-17,84.55,319,0
M-17,64.64,405,0
M-3,69.19,482,1
M-7,52.24,199,0
M-8,82.65,237,0
M-6,76.79,433,1
M-1,52.17,344,1
M-15,94.81,351,1
M-9,85.24,274,0
M-1,99.87,391,0
M-15,72.5,490,0
M-18,94.52,120,1
M-20,72.73,394,1
M-9,64.23,400,0
M-4,69.23,84,1
M-2,95.99,258,0
M-10,94.45,4,0
M-16,51.4,491,1
M-18,73.19,92,1
M-4,52.41,279,0
M-14,53.96,296,0
M-6,71.16,217,0
M-2,56.12,428,0
M-13,50.9,71,0
M-20,77.49,10,1
M-15,84.02,455,0
M-17,96.48,478,0
M-19,69.5,10,0
M-11,51.65,240,1
M-6,76.42,74,0
M-16,85.51,288,0
